area,perimeter,major_axis_length,minor_axis_length,eccentricity,convex_area,extent,variety
13683,492.975006,213.909195,83.120705,0.921415,14070,0.761266,cammeo
16734,531.507019,220.69548,97.839333,0.896362,17242,0.657111,cammeo
11469,429.858002,175.509949,85.113197,0.874543,11709,0.789224,osmancik
9842,395.572998,159.499008,80.370964,0.863764,10102,0.616667,osmancik
11385,419.01001,163.703873,89.73259,0.836387,11767,0.640182,osmancik
13272,474.927002,195.778549,87.165154,0.89542,13597,0.586064,cammeo
11489,432.207001,182.362381,81.070175,0.895751,11683,0.799068,osmancik
11923,435.286987,174.070801,88.945343,0.859597,12187,0.615539,osmancik
9772,392.237,164.403351,76.183434,0.886153,9971,0.783389,osmancik
14819,496.622986,205.991348,92.826569,0.892709,15194,0.726422,cammeo
12567,453.772003,192.22377,83.541176,0.900622,12778,0.575359,osmancik
16588,519.559021,218.394455,97.666862,0.894432,16852,0.640068,cammeo
15323,487.865997,192.230835,102.96283,0.844459,15769,0.713693,cammeo
11846,437.346985,182.628815,82.912964,0.891003,12019,0.579323,osmancik
16094,504.126007,208.371185,99.030296,0.879846,16325,0.648533,cammeo
12823,450.640991,180.697525,91.781448,0.861399,13195,0.69785,osmancik
14528,475.447998,192.198563,97.417427,0.862029,14795,0.62949,cammeo
12801,459.424011,195.099335,84.799606,0.9006,13058,0.761602,cammeo
12056,431.851013,182.363129,84.432541,0.886363,12191,0.797355,osmancik
12378,459.976013,191.249496,83.998466,0.898385,12800,0.565515,osmancik
14577,489.90799,204.846024,91.233475,0.895344,14870,0.781399,cammeo
11512,427.567993,172.210098,85.443062,0.868233,11802,0.690789,osmancik
11532,422.69101,168.923096,88.040359,0.853443,11798,0.630681,osmancik
11817,426.60199,179.56543,84.240791,0.883125,11977,0.657377,osmancik
11435,424.243011,175.184967,84.441948,0.876162,11660,0.801444,osmancik
13657,469.237,193.107422,90.778038,0.882618,13930,0.615346,cammeo
12382,453.602997,190.128616,83.850166,0.897498,12605,0.638313,osmancik
14017,474.309998,198.336731,90.86869,0.888873,14320,0.760553,cammeo
14195,488.459991,203.512711,89.958656,0.897,14555,0.717354,cammeo
15742,499.981995,209.394196,96.459114,0.887578,15950,0.756609,cammeo
10496,407.322998,167.929367,80.189072,0.878623,10666,0.703297,osmancik
15773,515.794006,219.433762,92.621048,0.906553,16089,0.705411,cammeo
13422,474.954987,196.454254,88.850594,0.891881,13817,0.55981,cammeo
9763,404.145996,169.185852,74.554283,0.897672,10047,0.708696,osmancik
9428,398.920013,164.845383,74.657585,0.891564,9760,0.676715,osmancik
14906,497.825012,211.341904,90.652954,0.903333,15150,0.597483,cammeo
11299,429.438995,174.44162,84.423386,0.875088,11663,0.613376,osmancik
11770,429.244995,177.57814,85.313187,0.877035,11938,0.592499,osmancik
10665,422.399994,176.841934,77.752274,0.898159,10884,0.629872,osmancik
13636,481.256012,203.928574,86.180138,0.906317,13888,0.549706,cammeo
14254,500.493988,213.075317,86.784325,0.913297,14644,0.622853,cammeo
13683,481.571014,206.926773,84.899063,0.911957,13922,0.762199,cammeo
10550,411.029999,162.713608,83.677231,0.857634,10875,0.618696,osmancik
10975,420.522003,169.966751,83.409637,0.871306,11305,0.686796,osmancik
11912,430.371002,177.482208,86.585678,0.872924,12119,0.722377,osmancik
12885,463.437988,192.967865,86.657425,0.893493,13263,0.589029,osmancik
11711,423.937012,175.11882,85.908127,0.871401,11866,0.810562,osmancik
12181,430.949005,177.657623,87.495148,0.870316,12353,0.756584,osmancik
10842,412.748993,167.045105,84.001625,0.864363,11105,0.670501,osmancik
12067,440.001007,187.761353,82.311211,0.898789,12200,0.617238,osmancik
13726,484.247009,209.703064,83.884415,0.916508,13969,0.555596,cammeo
15144,505.912994,212.368881,92.022034,0.901244,15609,0.609515,cammeo
12235,443.455994,187.662537,83.751724,0.894889,12442,0.658327,osmancik
11758,436.382996,177.348602,85.966576,0.874663,12190,0.763556,osmancik
14236,486.178986,201.704681,90.642403,0.89334,14545,0.656158,cammeo
11714,412.201996,161.308182,93.225616,0.816083,11886,0.764322,osmancik
13710,467.404999,193.888702,90.851852,0.883422,13915,0.728868,osmancik
14675,493.27301,206.793716,91.589066,0.896571,15039,0.566165,cammeo
11860,427.026001,174.990433,87.099152,0.867328,12064,0.612287,osmancik
17335,544.093018,239.010498,92.992981,0.921206,17526,0.821097,cammeo
10937,411.958008,165.007782,85.261551,0.856159,11135,0.624971,osmancik
11940,443.967987,187.333618,82.182785,0.898635,12184,0.636393,cammeo
13355,466.31601,193.728683,88.697304,0.889033,13597,0.605422,osmancik
14434,486.667999,201.271957,92.733772,0.887536,14754,0.625987,cammeo
14573,493.779999,209.35582,89.437508,0.904156,14847,0.65058,cammeo
10663,403.255005,163.936279,83.747414,0.859668,10884,0.652171,osmancik
12811,453.937012,185.728897,89.51059,0.876203,13112,0.585084,osmancik
11237,429.529999,179.383926,80.494347,0.893669,11430,0.590427,osmancik
11274,422.662994,174.386337,82.878082,0.879848,11459,0.740541,osmancik
15065,506.820007,212.436905,91.370277,0.902779,15516,0.724627,cammeo
12512,454.51001,186.950836,86.575417,0.88631,12817,0.571324,osmancik
10524,402.494995,164.08194,82.464378,0.86453,10713,0.632528,osmancik
13347,461.872009,193.527359,88.687103,0.888815,13536,0.777027,osmancik
15593,512.427979,216.615707,92.910019,0.903344,16050,0.777473,cammeo
11334,433.389008,178.989731,82.298042,0.888027,11566,0.711577,osmancik
15700,505.303009,209.988419,96.194885,0.888903,16040,0.59007,cammeo
12809,455.144012,189.079468,87.208031,0.887284,13025,0.590005,cammeo
14013,478.277008,194.782562,92.950325,0.878794,14374,0.604009,cammeo
14851,517.346985,217.698395,88.810249,0.913004,15256,0.728062,cammeo
10760,420.949005,173.444656,80.466774,0.88587,11046,0.587112,osmancik
11398,431.73999,179.467346,81.842644,0.889964,11627,0.594017,osmancik
14321,490.424988,204.28038,90.682976,0.896069,14622,0.573873,cammeo
12267,429.694,171.370636,92.458015,0.841972,12520,0.775901,osmancik
10510,416.710999,174.780289,77.304428,0.89687,10691,0.588334,osmancik
11270,422.609009,173.234207,83.399918,0.876485,11449,0.613901,osmancik
12630,444.05899,180.084885,90.350113,0.865037,12855,0.677611,osmancik
14989,484.309998,195.342041,98.700478,0.862961,15393,0.761056,cammeo
14944,490.044006,201.346542,96.046318,0.878892,15305,0.610657,cammeo
11014,413.440002,165.745209,86.554665,0.852814,11182,0.582628,osmancik
13039,476.697998,198.896927,85.530273,0.902818,13383,0.551799,cammeo
14057,483.480011,201.574814,89.906433,0.895023,14388,0.567272,cammeo
12876,448.441986,179.540497,92.545502,0.856915,13229,0.704762,osmancik
10826,414.222992,168.252792,82.888588,0.870231,11040,0.615498,osmancik
11986,433.294006,173.225052,89.398926,0.856537,12243,0.622423,osmancik
14784,481.985992,200.027161,94.98056,0.880073,15005,0.721593,cammeo
12743,442.734985,181.139679,90.301186,0.86688,12899,0.725105,osmancik
11572,418.628998,164.12326,90.982971,0.832279,11861,0.661635,osmancik
14275,485.787994,206.461914,88.925735,0.902489,14469,0.547564,cammeo
13734,487.839996,213.247437,83.18277,0.920783,13941,0.80523,cammeo
10369,402.983002,159.287033,84.890511,0.846153,10723,0.637543,osmancik
12106,448.5,186.505127,83.698715,0.893645,12389,0.651386,osmancik
14318,491.29599,207.614731,89.126595,0.903167,14629,0.562461,cammeo
12673,441.713989,177.029922,92.587486,0.85233,12950,0.621774,osmancik
13121,456.772003,181.998077,93.461433,0.858072,13490,0.627319,osmancik
15510,507.319,215.954819,92.474373,0.903678,15862,0.599536,cammeo
16024,527.421021,226.262772,91.601112,0.914386,16355,0.535687,cammeo
11012,428.237,176.378967,80.697472,0.889198,11325,0.758716,osmancik
12518,460.854004,188.437744,86.614296,0.888103,12903,0.732561,osmancik
11393,415.799988,164.910431,88.904243,0.842238,11638,0.695543,osmancik
12161,445.048004,182.334747,86.272705,0.880979,12428,0.602806,cammeo
13139,472.251007,202.597672,83.791779,0.910465,13379,0.783669,cammeo
11995,477.411011,216.487747,70.770081,0.945059,12168,0.666056,cammeo
11465,423.787994,174.072968,84.739548,0.873511,11673,0.733807,osmancik
14415,488.122009,203.59285,91.034729,0.894463,14758,0.674102,cammeo
9221,387.093994,159.224503,74.903328,0.882439,9418,0.768417,osmancik
12361,443.819,178.172119,89.320953,0.865263,12581,0.780366,osmancik
15456,508.821014,214.304413,93.456497,0.899902,15884,0.780251,cammeo
11930,434.806,175.301193,87.98391,0.864925,12260,0.643821,osmancik
11511,439.513,183.24234,81.798485,0.894836,11736,0.573171,osmancik
11321,424.575989,173.997635,84.739891,0.873392,11631,0.621896,osmancik
11973,438.14801,178.088776,87.274246,0.871688,12367,0.627121,osmancik
13811,482.298004,206.714752,85.736618,0.909932,14000,0.555931,cammeo
14196,499.230011,210.180115,87.10347,0.910084,14509,0.618859,cammeo
9677,390.617004,160.353058,77.401505,0.875789,9913,0.765828,osmancik
14747,501.765991,213.742188,88.581642,0.91008,15070,0.76441,cammeo
11966,456.846008,194.270264,79.350685,0.912778,12337,0.574598,cammeo
13814,477.585999,198.903076,89.6754,0.8926,14168,0.690976,cammeo
14590,496.171997,212.100754,88.602409,0.908568,14883,0.571485,cammeo
12140,441.498993,182.43399,85.498192,0.883382,12358,0.589607,osmancik
11529,420.455994,168.257462,88.485497,0.85055,11748,0.710089,osmancik
12042,433.769989,178.776443,86.525101,0.875076,12257,0.786442,osmancik
14927,502.018005,212.028549,90.816139,0.903627,15392,0.594986,cammeo
14626,496.585999,204.534134,92.974869,0.890712,15070,0.570214,cammeo
11657,432.565002,177.71994,84.210968,0.88061,11946,0.607864,osmancik
13088,450.210999,184.750198,91.246254,0.869524,13266,0.799218,osmancik
13166,465.96701,195.905411,86.005898,0.898479,13383,0.658004,osmancik
11875,425.450989,174.094177,87.364731,0.864969,12041,0.694526,osmancik
10443,404.984985,165.205612,81.702782,0.869148,10701,0.618954,osmancik
12871,448.582001,183.874542,90.276299,0.871178,13102,0.733725,osmancik
10783,418.681,171.365204,82.124413,0.877686,11133,0.593451,osmancik
9371,394.428009,169.184082,70.8647,0.90805,9528,0.777999,osmancik
10481,413.721985,174.164627,77.660294,0.895082,10648,0.806479,osmancik
14932,488.86499,203.939301,94.112396,0.887154,15200,0.781616,osmancik
13014,459.557007,193.659515,86.198189,0.89548,13253,0.67507,cammeo
14723,491.054993,204.175674,93.065491,0.890077,15021,0.575679,cammeo
13858,475.368988,201.442032,87.923248,0.899719,14083,0.778539,cammeo
13234,472.350006,198.575012,86.264366,0.900712,13512,0.742649,cammeo
10567,398.59201,161.457153,83.767021,0.854884,10720,0.641124,osmancik
11119,415.023987,171.281509,83.179619,0.874164,11346,0.632336,osmancik
11048,424.274994,169.519119,84.778145,0.865962,11419,0.691624,osmancik
10604,425.925995,179.151184,76.351692,0.904636,10830,0.574898,cammeo
12093,440.437988,176.480484,88.960297,0.863657,12421,0.62226,osmancik
14294,514.47699,226.407272,81.592514,0.932806,14731,0.511011,cammeo
10559,424.846985,179.207733,76.388016,0.904604,10770,0.670328,osmancik
13425,477.197998,199.756363,86.640968,0.901041,13784,0.611673,cammeo
12734,447.084015,180.24823,91.317955,0.862168,13019,0.794881,osmancik
10629,416.890015,172.190918,79.674118,0.886511,10819,0.694933,osmancik
13720,477.63501,201.157867,87.309998,0.900895,13936,0.664536,osmancik
11479,421.075012,171.34761,85.809135,0.865569,11677,0.799095,osmancik
13924,498.562012,212.061569,84.910751,0.916338,14444,0.547499,cammeo
11774,447.933014,186.017929,81.674004,0.898455,12103,0.560027,cammeo
13605,466.937012,191.522232,91.732048,0.877835,13919,0.612011,cammeo
12990,469.480011,200.515411,83.430351,0.909328,13214,0.701215,cammeo
10265,400.321991,163.166321,81.643814,0.865811,10450,0.611012,osmancik
14818,499.359985,208.875504,91.910774,0.897985,15204,0.575412,cammeo
12932,456.654999,191.328629,86.725838,0.891367,13098,0.663043,cammeo
10572,403.269012,164.57251,81.976845,0.867108,10745,0.747085,osmancik
12128,441.712006,184.305145,84.943253,0.887461,12327,0.622332,osmancik
9962,408.721008,165.833771,78.493866,0.880886,10231,0.618681,osmancik
10488,416.609009,175.397888,77.313705,0.89761,10720,0.71757,osmancik
14250,486.123993,201.218933,91.939819,0.889511,14636,0.593676,cammeo
10562,407.194,168.775269,80.469231,0.879021,10724,0.611227,osmancik
14517,488.324005,196.16449,95.582901,0.873258,14976,0.59513,cammeo
14788,480.962006,199.062546,95.537918,0.877302,15044,0.657507,cammeo
14078,478.470001,203.645462,88.56031,0.900491,14280,0.744395,cammeo
11273,432.654999,185.892792,77.610397,0.908677,11440,0.619736,osmancik
15200,502.588013,214.133804,91.117531,0.90495,15461,0.624127,cammeo
14969,494.416992,207.209915,92.910515,0.893839,15286,0.639701,cammeo
11956,438.895996,184.643707,83.218422,0.892677,12121,0.577027,cammeo
12671,448.119995,181.49382,90.351112,0.867281,12949,0.740648,osmancik
10457,402.062988,157.9617,85.704109,0.840015,10719,0.677091,osmancik
12767,463.84201,196.193039,83.973564,0.903772,13104,0.60622,cammeo
15554,502.096008,206.277527,97.223389,0.881961,15826,0.82734,cammeo
12303,439.341003,184.300018,85.292374,0.886467,12468,0.597465,osmancik
13652,486.627991,210.34523,83.299133,0.918246,13950,0.579801,cammeo
11377,429.385986,172.539642,85.884338,0.867311,11746,0.735423,osmancik
11024,414.859009,165.832138,85.640831,0.856329,11342,0.635023,osmancik
14571,489.730988,202.393768,92.942085,0.888326,14884,0.584899,cammeo
13658,499.373993,206.509735,85.756546,0.9097,14177,0.540269,cammeo
12605,448.846008,186.716446,86.671181,0.885738,12804,0.725969,osmancik
10044,410.19101,168.553101,77.079659,0.889311,10317,0.757466,osmancik
14295,489.214996,203.301895,90.609955,0.895187,14660,0.606697,cammeo
10735,421.488007,172.779373,80.167381,0.885842,11021,0.780954,osmancik
13787,474.338013,194.694626,91.077332,0.883837,14075,0.616179,cammeo
9819,410.64801,172.621262,73.482002,0.904872,10096,0.588246,osmancik
11937,427.334991,172.931641,88.591911,0.85881,12111,0.772321,osmancik
11521,429.234009,176.807312,84.103775,0.879618,11732,0.592949,osmancik
14887,493.045013,199.164917,96.693703,0.874239,15347,0.617129,cammeo
11231,427.666992,183.587097,78.861732,0.903038,11427,0.721184,osmancik
14244,488.06601,199.899887,92.315399,0.88698,14691,0.61633,cammeo
10035,398.096985,162.661865,79.646118,0.871923,10236,0.598069,osmancik
15360,515.297974,220.921753,89.95549,0.913347,15662,0.641604,cammeo
13735,484.770996,204.810638,86.75872,0.905847,13960,0.553697,cammeo
13918,489.040009,207.881744,86.490227,0.909339,14263,0.718756,cammeo
11279,426.212006,168.402466,86.929726,0.856467,11651,0.660905,osmancik
12243,449.681,182.026199,87.131706,0.877991,12744,0.778569,osmancik
11717,430.917999,174.640335,86.092323,0.870047,11948,0.651487,osmancik
14952,488.630005,203.00296,94.554527,0.884901,15187,0.615613,cammeo
9911,390.459991,157.097946,81.447983,0.855106,10178,0.731331,osmancik
13785,489.915985,213.376419,82.789917,0.92166,14130,0.796637,cammeo
17135,525.937988,217.728348,101.154625,0.885525,17471,0.593728,cammeo
15715,511.25,210.911606,96.004738,0.890395,16096,0.581413,cammeo
10472,412.989014,168.203552,80.146599,0.879182,10772,0.619425,osmancik
13450,465.39801,193.374969,89.506897,0.886428,13661,0.615786,cammeo
11502,423.832001,167.89209,88.349236,0.850345,11770,0.627599,osmancik
13537,467.587006,199.573151,86.729828,0.900635,13745,0.730624,osmancik
12621,444.588013,184.94313,87.624458,0.880637,12832,0.733992,cammeo
13501,485.756012,205.771011,84.908394,0.910896,13896,0.658521,cammeo
15032,500.609009,209.916534,91.925392,0.899017,15397,0.718925,cammeo
15586,505.877014,218.573212,91.243721,0.908699,15814,0.823784,cammeo
13034,449.851013,180.197098,93.86512,0.853616,13333,0.623159,osmancik
11859,421.812988,169.930786,89.381805,0.850491,12056,0.701467,osmancik
12981,449.617004,177.622955,94.242371,0.847638,13389,0.65146,osmancik
11952,443.490997,181.768265,85.327515,0.88297,12224,0.590135,osmancik
14831,493.760986,208.268539,91.54232,0.898223,15099,0.790228,cammeo
12888,467.197998,199.156418,83.288925,0.908351,13222,0.725839,cammeo
12637,455.290985,187.806503,86.84584,0.88666,12958,0.617342,osmancik
12281,442.110992,177.957535,89.708961,0.863643,12666,0.599073,osmancik
12274,441.852997,179.853912,87.760139,0.87287,12587,0.615979,osmancik
11380,423.61499,172.173889,85.657295,0.867461,11620,0.673174,osmancik
12676,431.769989,172.60965,94.473885,0.836919,12872,0.731027,osmancik
13385,477.929993,199.842682,87.046509,0.900152,13656,0.565914,cammeo
11491,440.468994,183.995331,80.870872,0.898229,11819,0.664988,cammeo
10949,420.170013,176.249527,79.890923,0.891367,11132,0.579006,osmancik
12035,431.95401,176.022552,88.002747,0.866053,12226,0.617845,osmancik
10000,415.273987,180.151871,71.01284,0.919032,10176,0.542829,osmancik
12060,438.774994,177.401031,87.377846,0.870287,12420,0.648666,osmancik
13413,465.605011,198.852722,86.094154,0.901416,13620,0.635326,cammeo
17856,530.416016,223.292358,102.901276,0.887485,18062,0.795722,cammeo
13782,457.492004,180.915283,97.973877,0.840671,14147,0.655256,osmancik
11123,426.855988,181.081802,79.000984,0.899815,11362,0.762058,osmancik
14463,480.48999,201.934219,91.943893,0.89033,14698,0.675116,cammeo
15269,519.765991,222.419556,88.28183,0.917855,15620,0.565749,cammeo
11219,433.713013,180.316422,80.25338,0.895496,11485,0.700487,osmancik
10956,422.171997,178.351868,79.157143,0.896113,11131,0.573132,osmancik
14944,500.238007,209.557648,91.528412,0.899573,15255,0.628956,cammeo
12043,441.156006,175.532059,88.688248,0.862971,12376,0.66772,osmancik
15042,504.720001,214.52121,90.20871,0.907287,15375,0.695616,cammeo
15307,489.471008,197.202652,100.132988,0.861494,15628,0.679104,cammeo
12115,449.197998,187.591583,83.370239,0.895816,12440,0.566863,osmancik
16079,522.758972,223.405914,92.64325,0.909965,16392,0.641723,cammeo
12431,437.657013,178.194199,89.486519,0.86476,12657,0.735562,osmancik
14340,499.096008,207.251083,89.858963,0.901117,14863,0.663152,cammeo
11239,419.862,170.461899,85.563148,0.864897,11609,0.622521,osmancik
10222,423.497009,182.800247,72.124298,0.918873,10421,0.820385,osmancik
12974,460.303986,192.931046,86.724136,0.893276,13232,0.59593,osmancik
14655,491.714996,200.146896,94.780464,0.880764,15181,0.60091,cammeo
13662,466.747986,191.405121,91.915154,0.877152,13875,0.587461,cammeo
12598,466.837006,199.039139,81.866547,0.911496,13072,0.575409,cammeo
14186,490.713989,198.142212,92.535049,0.88425,14721,0.593681,osmancik
14652,485.546997,201.553604,93.448616,0.886023,14883,0.59315,cammeo
16412,515.11499,208.69455,101.941757,0.872579,16857,0.773786,cammeo
11062,411.109009,167.803192,84.982826,0.862273,11242,0.822576,osmancik
12720,443.454987,183.202393,89.496552,0.872557,12904,0.776557,osmancik
10591,410.734009,169.754807,80.398697,0.880731,10751,0.603338,osmancik
13501,472.483002,198.072037,87.689613,0.896662,13787,0.634028,cammeo
13576,475.049988,200.99942,86.548996,0.902546,13888,0.583287,cammeo
16176,522.991028,221.927399,93.984184,0.9059,16639,0.602346,cammeo
10948,408.438995,167.176117,83.687889,0.86568,11132,0.75467,osmancik
12074,435.078003,181.390305,85.691116,0.881377,12257,0.699091,osmancik
12136,455.428986,195.570404,80.099869,0.912278,12334,0.772305,osmancik
12411,443.554993,178.227219,90.224045,0.862398,12780,0.640535,osmancik
11447,447.346008,190.389053,79.038223,0.909757,11753,0.543542,cammeo
10312,398.795013,163.542313,80.670448,0.869877,10507,0.805751,osmancik
11671,430.23999,177.180145,84.818855,0.87797,11895,0.674624,osmancik
14035,480.628998,199.148392,91.410896,0.888432,14422,0.716291,cammeo
13942,502.031006,214.337982,83.719704,0.920562,14273,0.644508,cammeo
10910,445.273987,190.248047,73.878754,0.921521,11229,0.627878,osmancik
15274,511.053986,211.299927,93.120049,0.897654,15669,0.693264,cammeo
10589,408.756012,167.883408,81.036987,0.875787,10775,0.617939,osmancik
11963,432.298004,177.857117,86.445625,0.873937,12162,0.809186,osmancik
14064,486.890015,204.163071,88.521423,0.901114,14388,0.64838,cammeo
11396,431.296997,177.638397,82.857635,0.884553,11612,0.753206,osmancik
11549,440.247986,179.116882,84.495804,0.88174,11961,0.595401,cammeo
13060,465.64801,192.372009,87.598045,0.890309,13352,0.580548,osmancik
14431,497.062988,212.04567,87.851418,0.910138,14805,0.648643,cammeo
13819,487.670013,207.970764,86.187744,0.910085,14181,0.569691,cammeo
11447,436.868988,180.437317,82.310127,0.889893,11733,0.572579,osmancik
12096,438.856995,179.348358,86.961037,0.874585,12333,0.661092,osmancik
14892,503.647003,213.271957,90.478661,0.905549,15279,0.593922,cammeo
11599,432.316986,180.881851,82.32106,0.890435,11788,0.615005,osmancik
11603,427.524994,175.940414,84.686653,0.876536,11807,0.803421,osmancik
10541,406.536011,162.991074,83.698257,0.858081,10901,0.774618,osmancik
